"subject_ID","correct","phase","time_ellapsed_mins","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","stim_ageGroup","button_pressed","stim_gender","stim_language","stim_ID","clipID"
"01x5706uljd0nog",0,"Sex",17.2554,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","F","Non-English","14Tsimane","0804078336.wav"
"01x5706uljd0nog",1,"Sex",17.5109166666667,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","F23CasillasYeli","0740408284.wav"
"01x5706uljd0nog",1,"Sex",17.8068333333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","33Tsimane","0342400096.wav"
"01x5706uljd0nog",1,"Sex",18.0531833333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","F10CasillasYeli","0677150866.wav"
"01x5706uljd0nog",1,"Sex",18.2777833333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","7326Tseltal","0858718183.wav"
"01x5706uljd0nog",0,"Sex",18.5207,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","F","Non-English","11bTsimane","0344255482.wav"
"01x5706uljd0nog",1,"Sex",18.7286166666667,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","34Tsimane","0458074309.wav"
"01x5706uljd0nog",0,"Sex",18.9869333333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","F42CasillasYeli","0741084798.wav"
"01x5706uljd0nog",1,"Sex",19.3649166666667,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","8787Tseltal","0675181716.wav"
"01x5706uljd0nog",0,"Sex",19.5805166666667,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","41Tsimane","0351119080.wav"
"01x5706uljd0nog",1,"Language",19.8782333333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","M","English","26Seedlings","0589760242.wav"
"01x5706uljd0nog",1,"Language",20.1178833333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","NA","English","8Seedlings","0428418129.wav"
"01x5706uljd0nog",1,"Language",20.3801333333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","F","Non-English","F31CasillasYeli","0471452186.wav"
"01x5706uljd0nog",0,"Language",20.614,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","8179Tseltal","0972726511.wav"
"01x5706uljd0nog",0,"Language",20.8323,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
